"Gene","P_Value","Adjusted_P_Value"
"Cluster","5.114906e-289","2.849002e-286"
"Mmp2","8.243799e-108","4.591796e-105"
"Dcn"," 6.337335e-92"," 3.529896e-89"
"Fbln1"," 5.228018e-91"," 2.912006e-88"
"Itgbl1"," 7.886191e-88"," 4.392608e-85"
"Mfap4"," 3.275250e-87"," 1.824314e-84"
"Rnase4"," 3.123404e-82"," 1.739736e-79"
"Cilp"," 6.462888e-80"," 3.599828e-77"
"Cpxm1"," 7.472140e-80"," 4.161982e-77"
"Spon1"," 2.708362e-74"," 1.508558e-71"
"Lrrc15"," 3.270504e-71"," 1.821670e-68"
"Olfml3"," 2.399139e-70"," 1.336321e-67"
"Col1a2"," 7.855594e-62"," 4.375566e-59"
"Cpxm2"," 2.081064e-60"," 1.159153e-57"
"Serpinf1"," 8.739876e-59"," 4.868111e-56"
"Col1a1"," 3.848254e-58"," 2.143477e-55"
"Col3a1"," 2.894404e-57"," 1.612183e-54"
"Serpina3n"," 6.011967e-56"," 3.348666e-53"
"Fbln2"," 1.322169e-54"," 7.364482e-52"
"Pi16"," 1.135197e-53"," 6.323049e-51"
"Smoc2"," 1.780301e-50"," 9.916274e-48"
"Igfbp4"," 2.075037e-50"," 1.155796e-47"
"Pdgfrl"," 8.755696e-48"," 4.876923e-45"
"Lum"," 1.087329e-47"," 6.056421e-45"
"Mfap5"," 5.066308e-45"," 2.821933e-42"
"Cxcl14"," 4.647641e-43"," 2.588736e-40"
"Lox"," 2.049035e-39"," 1.141312e-36"
"Postn"," 3.300283e-39"," 1.838258e-36"
"Ly6a"," 3.075656e-38"," 1.713140e-35"
"Igfbp6"," 1.918853e-37"," 1.068801e-34"
"Col12a1"," 9.072953e-36"," 5.053635e-33"
"Itm2a"," 2.171620e-35"," 1.209592e-32"
"Col6a1"," 6.452176e-35"," 3.593862e-32"
"Ctsk"," 2.065520e-33"," 1.150495e-30"
"Igfbp2"," 9.363870e-32"," 5.215676e-29"
"Cpz"," 4.948630e-31"," 2.756387e-28"
"Fndc1"," 4.610410e-29"," 2.567998e-26"
"Omd"," 9.568812e-28"," 5.329828e-25"
"Htra3"," 1.674460e-27"," 9.326744e-25"
"Crabp1"," 6.101623e-26"," 3.398604e-23"
"Gas6"," 3.201290e-25"," 1.783119e-22"
"Il33"," 3.286693e-25"," 1.830688e-22"
"Ly6c1"," 9.999901e-25"," 5.569945e-22"
"Thbs2"," 1.523064e-24"," 8.483465e-22"
"Igfbp3"," 6.952226e-23"," 3.872390e-20"
"Hsd11b1"," 2.320807e-22"," 1.292689e-19"
"Cxcl12"," 2.477974e-22"," 1.380231e-19"
"Fcgr2b"," 3.227988e-22"," 1.797989e-19"
"Rgs5"," 4.342613e-22"," 2.418835e-19"
"Ccl8"," 1.152612e-21"," 6.420050e-19"
"Lrrn4cl"," 1.800856e-21"," 1.003077e-18"
"Sfrp2"," 3.978470e-19"," 2.216008e-16"
"Pcolce2"," 4.374946e-19"," 2.436845e-16"
"Higd1b"," 6.783412e-18"," 3.778361e-15"
"Cd34"," 2.697963e-17"," 1.502765e-14"
"Dpt"," 5.746853e-17"," 3.200997e-14"
"Ptgis"," 6.872757e-17"," 3.828126e-14"
"Fxyd6"," 2.952988e-16"," 1.644814e-13"
"Efemp1"," 5.997065e-16"," 3.340365e-13"
"C1qtnf3"," 1.578259e-15"," 8.790905e-13"
"Cfb"," 2.109930e-15"," 1.175231e-12"
"Timp1"," 2.651636e-15"," 1.476961e-12"
"Aqp1"," 3.184071e-15"," 1.773528e-12"
"Clec3b"," 6.109443e-15"," 3.402960e-12"
"C3"," 6.268793e-15"," 3.491718e-12"
"Srgn"," 3.634892e-14"," 2.024635e-11"
"Ogn"," 6.605061e-13"," 3.679019e-10"
"Moxd1"," 7.656180e-13"," 4.264492e-10"
"Cthrc1"," 1.334985e-12"," 7.435868e-10"
"S100a10"," 1.759406e-12"," 9.799891e-10"
"Kcnj8"," 7.580663e-12"," 4.222430e-09"
"Ly6e"," 1.122106e-11"," 6.250129e-09"
"Epyc"," 1.455096e-11"," 8.104887e-09"
"Arhgdib"," 2.731097e-11"," 1.521221e-08"
"Sfrp4"," 2.748315e-11"," 1.530811e-08"
"Penk"," 3.658117e-11"," 2.037571e-08"
"Cdkn1a"," 4.502221e-11"," 2.507737e-08"
"Hpgd"," 8.032473e-11"," 4.474088e-08"
"Thbs4"," 1.194965e-10"," 6.655956e-08"
"Aldh1a1"," 1.605408e-10"," 8.942125e-08"
"Mgst1"," 3.514909e-10"," 1.957805e-07"
"Ndufa4"," 3.592649e-10"," 2.001105e-07"
"Eln"," 3.690074e-10"," 2.055371e-07"
"Rgs4"," 7.291921e-10"," 4.061600e-07"
"Reg3g"," 2.290795e-09"," 1.275973e-06"
"Rbp1"," 2.749785e-09"," 1.531630e-06"
"Scara5"," 4.980582e-09"," 2.774184e-06"
"Spon2"," 6.250632e-09"," 3.481602e-06"
"Cd55"," 7.973456e-09"," 4.441215e-06"
"Ctla2a"," 9.335475e-09"," 5.199859e-06"
"Angptl4"," 9.445535e-09"," 5.261163e-06"
"X1810011H11Rik"," 1.160559e-08"," 6.464311e-06"
"Tnc"," 1.625761e-08"," 9.055489e-06"
"Gzmc"," 1.925576e-08"," 1.072546e-05"
"Myl9"," 2.694330e-08"," 1.500742e-05"
"Lbp"," 3.381514e-08"," 1.883503e-05"
"Tnfaip6"," 3.534542e-08"," 1.968740e-05"
"Ccl7"," 1.043836e-07"," 5.814166e-05"
"Errfi1"," 1.422323e-07"," 7.922342e-05"
"Tinagl1"," 1.509347e-07"," 8.407063e-05"
"Sod3"," 2.309236e-07"," 1.286245e-04"
"Mmp3"," 2.354087e-07"," 1.311227e-04"
"Aldh1a3"," 6.185750e-07"," 3.445463e-04"
"X1500015O10Rik"," 1.126564e-06"," 6.274964e-04"
"F2r"," 1.466711e-06"," 8.169582e-04"
"Acta2"," 1.842210e-06"," 1.026111e-03"
"Cyp4b1"," 2.346928e-06"," 1.307239e-03"
"Ifi27l2a"," 2.463671e-06"," 1.372265e-03"
"Fabp4"," 2.599837e-06"," 1.448109e-03"
"Rgs16"," 3.603509e-06"," 2.007155e-03"
"Fgf21"," 5.637174e-06"," 3.139906e-03"
"H2.Aa"," 7.761841e-06"," 4.323346e-03"
"AW112010"," 8.583156e-06"," 4.780818e-03"
"Tmem255b"," 1.281796e-05"," 7.139604e-03"
"Sfrp1"," 1.284530e-05"," 7.154831e-03"
