"Gene","P_Value","Adjusted_P_Value"
"Cbr2","3.389917e-13","1.888184e-10"
"Cst3","5.350520e-13","2.980240e-10"
"Kcnn4","9.790945e-13","5.453556e-10"
"Acot1","1.014642e-12","5.651557e-10"
"Sfrp2","1.380860e-12","7.691389e-10"
"Lrrn4cl","1.603671e-12","8.932448e-10"
"Il17b","2.383482e-12","1.327599e-09"
"Errfi1","4.093453e-12","2.280053e-09"
"Efhd1","4.718598e-12","2.628259e-09"
"Crabp1","5.062571e-12","2.819852e-09"
"Tspan7","5.483121e-12","3.054098e-09"
"Emb","8.253995e-12","4.597475e-09"
"Fxyd6","1.566916e-11","8.727721e-09"
"Gpr37l1","1.611074e-11","8.973683e-09"
"Lcn2","1.968919e-11","1.096688e-08"
"Chad","2.678820e-11","1.492103e-08"
"Col6a1","3.411451e-11","1.900178e-08"
"Cdkn1a","3.525075e-11","1.963467e-08"
"Fcgr2b","3.622768e-11","2.017882e-08"
"Ptgis","3.912034e-11","2.179003e-08"
"Ccl8","4.059190e-11","2.260969e-08"
"Hist1h2bc","4.384960e-11","2.442423e-08"
"Slc38a3","4.581226e-11","2.551743e-08"
"Pcolce2","5.065211e-11","2.821323e-08"
"Thbs2","8.170683e-11","4.551071e-08"
"Car12","8.360290e-11","4.656681e-08"
"Atp6v1c2","1.128331e-10","6.284806e-08"
"Myl9","2.590307e-10","1.442801e-07"
"Aldoc","3.135165e-10","1.746287e-07"
"Cd34","3.297565e-10","1.836744e-07"
"Fabp4","3.334149e-10","1.857121e-07"
"Dpt","5.554518e-10","3.093866e-07"
"Gdf10","5.588625e-10","3.112864e-07"
"Ank","6.816394e-10","3.796731e-07"
"Penk","7.537884e-10","4.198601e-07"
"Efemp1","7.723745e-10","4.302126e-07"
"Moxd1","7.753807e-10","4.318871e-07"
"Rgs16","9.437657e-10","5.256775e-07"
"Mmp3","1.055698e-09","5.880240e-07"
"Cfb","1.204470e-09","6.708900e-07"
"Ltbp2","1.622237e-09","9.035861e-07"
"C3","1.867797e-09","1.040363e-06"
"Arsi","2.714118e-09","1.511764e-06"
"Acta2","3.567504e-09","1.987100e-06"
"C1qtnf3","3.948711e-09","2.199432e-06"
"Ctsk","5.795901e-09","3.228317e-06"
"Ifitm1","5.962047e-09","3.320860e-06"
"Prelp","6.826612e-09","3.802423e-06"
"Cd55","6.939852e-09","3.865497e-06"
"Chil1","1.316502e-08","7.332917e-06"
"Clec3b","1.761879e-08","9.813666e-06"
"Gja1","1.837987e-08","1.023759e-05"
"Cldn3","3.219929e-08","1.793500e-05"
"Tmem37","3.383778e-08","1.884764e-05"
"Lgals7","3.943662e-08","2.196620e-05"
"BC028528","5.744165e-08","3.199500e-05"
"Otor","6.548381e-08","3.647448e-05"
"Serinc2","7.100782e-08","3.955136e-05"
"F11r","8.363469e-08","4.658452e-05"
"Steap4","9.201083e-08","5.125003e-05"
"Wisp2","1.055344e-07","5.878267e-05"
"Ucma","1.166112e-07","6.495244e-05"
"Csn3","1.214243e-07","6.763333e-05"
"Mest","1.523992e-07","8.488637e-05"
"Krt18","1.573086e-07","8.762090e-05"
"Ctla2a","2.556935e-07","1.424213e-04"
"Cox8b","2.769996e-07","1.542888e-04"
"Sfrp1","3.932615e-07","2.190466e-04"
"Anxa8","5.253078e-07","2.925965e-04"
"Scara5","6.996309e-07","3.896944e-04"
"Ptx3","7.073490e-07","3.939934e-04"
"Krt8","8.497379e-07","4.733040e-04"
"Sfrp4","8.906403e-07","4.960867e-04"
"Bglap","9.232375e-07","5.142433e-04"
"Apoe","9.293513e-07","5.176487e-04"
"Trp63","1.444311e-06","8.044813e-04"
"Gzmc","1.582031e-06","8.811914e-04"
"Lect1","1.771839e-06","9.869144e-04"
"Crip1","2.071769e-06","1.153975e-03"
"Epyc","2.296056e-06","1.278903e-03"
"BC064078","2.304933e-06","1.283848e-03"
"Lsr","2.349647e-06","1.308753e-03"
"Anxa1","2.547593e-06","1.419009e-03"
"Muc15","2.681416e-06","1.493548e-03"
"Hhatl","3.010453e-06","1.676822e-03"
"Aldh1a1","4.569314e-06","2.545108e-03"
"H2.Aa","4.662074e-06","2.596775e-03"
"Ackr3","4.752620e-06","2.647210e-03"
"Epcam","4.869106e-06","2.712092e-03"
"Thbs4","5.204521e-06","2.898918e-03"
"Gjb2","6.507430e-06","3.624639e-03"
"Adh1","7.081128e-06","3.944188e-03"
"Emcn","7.899900e-06","4.400245e-03"
"Matn4","8.231472e-06","4.584930e-03"
"Slpi","9.261851e-06","5.158851e-03"
"Bglap2","1.028984e-05","5.731442e-03"
"Wfdc18","1.092599e-05","6.085775e-03"
"Krt5","1.117027e-05","6.221838e-03"
"Hpgd","1.197505e-05","6.670101e-03"
"Hcrtr1","1.219728e-05","6.793886e-03"
"R3hdml","1.282018e-05","7.140842e-03"
"Bpifb1","1.335831e-05","7.440578e-03"
"Reg3g","1.449765e-05","8.075191e-03"
"H2.M9","1.554736e-05","8.659879e-03"
