"Gene","P_Value","Adjusted_P_Value"
"Cluster","0.000000e+00","0.000000e+00"
"Rbp1","1.758861e-69","9.796855e-67"
"Mmp2","1.847779e-66","1.029213e-63"
"Ndufa4","1.926573e-59","1.073101e-56"
"Rnase4","7.506013e-54","4.180849e-51"
"Dcn","4.956289e-49","2.760653e-46"
"Itgbl1","1.973539e-45","1.099261e-42"
"Mfap4","4.504023e-45","2.508741e-42"
"Serpinf1","4.589975e-45","2.556616e-42"
"Ly6e","3.838312e-43","2.137940e-40"
"Casp1","7.161741e-42","3.989090e-39"
"Fbln1","2.069810e-41","1.152884e-38"
"Igfbp5","1.207494e-40","6.725742e-38"
"Lbp","2.286859e-40","1.273780e-37"
"Fbln2","6.779762e-40","3.776327e-37"
"Mgst1","1.330123e-39","7.408787e-37"
"Rgs5","5.879838e-39","3.275070e-36"
"Cpxm1","7.416798e-39","4.131156e-36"
"Pdgfrl","1.004684e-38","5.596088e-36"
"Cilp","9.441945e-38","5.259163e-35"
"Igfbp4","1.541410e-36","8.585651e-34"
"X1500015O10Rik","2.247328e-35","1.251762e-32"
"Olfml3","2.201506e-34","1.226239e-31"
"Gas6","1.254628e-33","6.988277e-31"
"Lrrc15","2.388887e-31","1.330610e-28"
"Igfbp2","1.571314e-30","8.752217e-28"
"Higd1b","4.714028e-30","2.625714e-27"
"Eln","2.291567e-29","1.276403e-26"
"Cpxm2","2.935242e-28","1.634930e-25"
"S100a10","4.979795e-27","2.773746e-24"
"Spon1","7.454029e-27","4.151894e-24"
"Pi16","1.511207e-26","8.417422e-24"
"Lum","2.596465e-26","1.446231e-23"
"Aqp5","2.993044e-26","1.667126e-23"
"Il33","1.216132e-25","6.773856e-23"
"Serpina3n","1.257919e-25","7.006608e-23"
"Col1a1","2.031319e-24","1.131445e-21"
"Fth1","2.584050e-24","1.439316e-21"
"Cxcl14","3.899981e-24","2.172289e-21"
"Col1a2","1.586983e-23","8.839495e-21"
"Smoc1","3.932537e-23","2.190423e-20"
"Arhgdib","5.756189e-22","3.206197e-19"
"Smoc2","6.047203e-22","3.368292e-19"
"Srgn","7.985711e-22","4.448041e-19"
"Scrg1","9.149094e-22","5.096046e-19"
"Id2","1.069760e-20","5.958563e-18"
"Col3a1","1.231350e-20","6.858619e-18"
"Dbi","2.295573e-20","1.278634e-17"
"Aqp1","2.537334e-20","1.413295e-17"
"Ly6a","3.223691e-20","1.795596e-17"
"Plekhb1","3.529492e-20","1.965927e-17"
"Mfap5","4.316783e-20","2.404448e-17"
"Insl6","5.523601e-20","3.076646e-17"
"Kcnj8","8.626914e-20","4.805191e-17"
"Col9a3","9.006931e-20","5.016860e-17"
"Ogn","3.012077e-19","1.677727e-16"
"Clu","3.205723e-19","1.785588e-16"
"Igfbp3","5.125182e-19","2.854727e-16"
"Mia","5.974306e-19","3.327688e-16"
"Igfbp6","9.460958e-19","5.269754e-16"
"Col9a1","1.386629e-18","7.723521e-16"
"Hsd11b1","5.742002e-18","3.198295e-15"
"Cxcl12","1.103028e-17","6.143867e-15"
"Omd","1.161940e-17","6.472006e-15"
"Lox","1.858724e-17","1.035309e-14"
"Cpz","2.616973e-17","1.457654e-14"
"Itm2a","2.897694e-17","1.614016e-14"
"Trf","6.231852e-17","3.471142e-14"
"Col12a1","6.851130e-17","3.816079e-14"
"Spint2","8.028190e-17","4.471702e-14"
"Postn","8.263914e-17","4.603000e-14"
"Cthrc1","2.494818e-16","1.389614e-13"
"Cd24a","4.963765e-16","2.764817e-13"
"Fndc1","5.309980e-16","2.957659e-13"
"Nupr1","1.128839e-15","6.287632e-13"
"Rgs4","1.207241e-15","6.724335e-13"
"Sod3","1.286675e-15","7.166779e-13"
"Htra3","6.726671e-15","3.746756e-12"
"Thrsp","7.621804e-15","4.245345e-12"
"Perp","3.922039e-14","2.184576e-11"
"Fxyd3","5.323878e-14","2.965400e-11"
"Clca2","7.027899e-14","3.914540e-11"
"Krt23","8.687160e-14","4.838748e-11"
"X1810011H11Rik","8.994953e-14","5.010189e-11"
"Capn6","1.050796e-13","5.852936e-11"
"Ly6c1","1.123907e-13","6.260162e-11"
"Ndp","2.395433e-13","1.334256e-10"
"S100b","2.561851e-13","1.426951e-10"
"Cyp4b1","2.946856e-13","1.641399e-10"
"G0s2","3.255848e-13","1.813508e-10"
