"PC1","PC2","Cluster"
-3.63577038862602,0.287787563026211,"7"
-3.90855939912912,0.366853840234787,"7"
-2.73347338619369,-0.0975642547858294,"7"
5.39161805660116,-3.27706113100767,"2"
-3.10677588748003,-0.191109420757029,"7"
6.76889159415662,-3.78029539596512,"2"
10.4557383816596,-7.08450595753255,"3"
-2.6360547477843,0.105072793043001,"5"
-2.42274155178913,-0.490361763059608,"1"
-4.56101021071075,0.256437737346299,"7"
5.02973618511849,-3.28953465176805,"2"
6.94814309484083,-3.64296434892342,"2"
-4.02454951668721,0.0927296001993118,"1"
-3.20935211844545,-0.0557913523230406,"1"
-3.1416998273334,0.276767810016646,"1"
-3.33876564293825,0.0750094293580304,"1"
1.55665555739224,-1.9699368722411,"6"
-2.26067683185076,-0.167754977254182,"1"
5.86590192499695,-3.53373416234561,"2"
-3.70723707549081,0.427832676190739,"7"
-3.86782917443117,0.122023027159517,"1"
11.0871352604916,-5.69978248297895,"3"
7.00655621247319,-2.92453034891352,"2"
-3.37130891313795,0.0114401157733059,"7"
-1.44359088793389,-0.186082618573245,"1"
-1.58154205188569,-0.423464676718443,"1"
9.0356986960957,-4.64816973047878,"2"
-3.41602592560906,0.00742991884695129,"1"
-3.87336499861511,0.764309428883955,"6"
-3.86927719241242,0.491424749858117,"7"
-3.80782216426862,0.224007758237555,"1"
-4.68297164027831,0.502582120977338,"1"
-2.65365724321868,-0.371341588817981,"1"
-2.97033778874315,0.351098869531394,"4"
7.72878091983978,-4.36074401972921,"3"
7.86268017905928,-5.09663358739296,"2"
-2.8804387781469,0.0123466606086577,"1"
-4.46381385170359,0.232870811216109,"7"
5.36684205627652,-4.05481143648975,"2"
-3.35590271080723,0.27652128775894,"6"
-3.91003518584797,0.259834783149311,"1"
-3.45503691282699,0.20704443142837,"1"
-3.42601149185534,0.166171384988143,"1"
-2.43894017617096,-0.24004672671198,"1"
-3.9848728355837,0.582909909093836,"7"
-3.66365617247298,0.186223804705324,"1"
-2.72261942917833,0.307848786692312,"6"
16.0247908057076,-7.75485976753212,"8"
-4.00063383995048,0.604292379883171,"7"
-2.04184282763376,0.14557637639259,"7"
-3.34814774093689,-0.136046119518554,"1"
-2.89162249411977,-0.101013632488419,"1"
0.347180241723713,-0.894533353427612,"6"
-3.25873414216557,0.174309079885532,"7"
11.7988613753291,-5.35442044215458,"2"
-3.67332915986171,0.0457490746047643,"7"
-4.74295956854498,0.0960690977953167,"1"
15.6132186932307,25.1026441002767,"9"
-3.58463602314012,0.491194644507733,"1"
8.51183840200638,-5.1790387774208,"2"
6.30969144698425,-4.92855627899714,"2"
-3.2201714465953,0.132539685748224,"1"
5.79524173358684,-3.60942220390184,"2"
-3.62233044535431,-0.0215976815177841,"1"
-2.92909309649778,0.740806048874751,"6"
-3.94914624591302,-0.00960928664012853,"1"
-2.93585333934617,-0.119375605930615,"1"
6.55359216262813,-3.6441307134165,"2"
5.48282617425654,-3.33408603739683,"2"
-3.79072745656629,0.505552084095307,"4"
-2.69194579586117,-0.0196958167274458,"7"
0.75909701146271,-1.67432742579447,"6"
-3.47406930568788,-0.145415697275308,"1"
-4.31280722220584,-0.0229706565121895,"1"
-3.48531410208163,0.343818476630359,"1"
-3.63893081790623,0.22873949997408,"1"
5.1485486508252,-3.78231782297469,"2"
-4.0189900791062,0.428618526494396,"7"
-3.88478939837621,0.487590186134742,"6"
-2.72047575721114,0.519556695769034,"6"
9.28565293586253,-5.5413979545185,"3"
-1.08318322663976,-0.89695858573554,"6"
-4.06163331354972,0.381155315457904,"1"
-3.62845102421765,0.278805945515253,"4"
-2.95662255138039,0.177276464455742,"7"
-2.1854136850979,-0.189029409083199,"6"
1.19833026114721,-1.46617247937862,"6"
12.8829225638717,-7.46626170675876,"3"
-2.76980422914215,0.260591224883411,"7"
-4.10438985807118,-0.0603482183002058,"1"
-2.63671735210335,-0.37691921481043,"1"
-4.05822912410424,-0.114222017931149,"7"
